Reference,Account Number,Description,Start Balance,Mutation,End Balance
188897,NL91RABO0315273637,Subscription for Daniël Dekker,32.26,+13.62,45.88
112806,NL32RABO0195610843,Tickets for Richard de Vries,37.79,-28.32,9.47
197294,NL43AEGO0773393871,Subscription for Vincent Dekker,41.99,-48.25,-6.26
135551,NL32RABO0195610843,Tickets from Daniël Bakker,35.05,+20.57,55.62
112806,NL32RABO0195610843,Subscription for Erik Dekker,56.51,-29.87,26.64
112806,NL91RABO0315273637,Flowers from Willem Dekker,60.42,+18.55,78.97
108639,NL90ABNA0585647886,Candy for Richard de Vries,104.98,+49.84,154.82
177667,NL90ABNA0585647886,Flowers from Erik Theuß,104.35,+16.84,121.19
136280,NL32RABO0195610843,Clothes for Peter de Vries,47.97,+46.05,94.02
145542,NL32RABO0195610843,Clothes for Daniël Bakker,35.72,+46.89,82.61
